Place,Crime Category,Year,Amount,Population
Balears (Illes),    6. SEGURIDAD COLECTIVA,2019,2880.0,1149460.0
Balears (Illes),    6. SEGURIDAD COLECTIVA,2018,2676.0,1128908.0
Balears (Illes),    6. SEGURIDAD COLECTIVA,2017,2534.0,1115999.0
Balears (Illes),    6. SEGURIDAD COLECTIVA,2016,2332.0,1107220.0
Balears (Illes),    6. SEGURIDAD COLECTIVA,2015,2517.0,1104479.0
Balears (Illes),    6. SEGURIDAD COLECTIVA,2014,2810.0,1103442.0
Balears (Illes),    6. SEGURIDAD COLECTIVA,2013,3052.0,1111674.0
Balears (Illes),    6. SEGURIDAD COLECTIVA,2012,2948.0,1119439.0
Balears (Illes),    6. SEGURIDAD COLECTIVA,2011,2524.0,1113114.0
Balears (Illes),    6. SEGURIDAD COLECTIVA,2010,2078.0,1106049.0
Balears (Illes),    6.1.-Tráfico de drogas,2022,627.0,1176659.0
Balears (Illes),    6.1.-Tráfico de drogas,2021,389.0,1173008.0
Balears (Illes),    6.1.-Tráfico de drogas,2020,431.0,1171543.0
Balears (Illes),    6.1.-Tráfico de drogas,2019,656.0,1149460.0
Balears (Illes),    6.1.-Tráfico de drogas,2018,514.0,1128908.0
Balears (Illes),    6.1.-Tráfico de drogas,2017,483.0,1115999.0
Balears (Illes),    6.1.-Tráfico de drogas,2016,500.0,1107220.0
Balears (Illes),    6.1.-Tráfico de drogas,2015,419.0,1104479.0
Balears (Illes),    6.1.-Tráfico de drogas,2014,560.0,1103442.0
Balears (Illes),    6.1.-Tráfico de drogas,2013,561.0,1111674.0
Balears (Illes),    6.1.-Tráfico de drogas,2012,435.0,1119439.0
Balears (Illes),    6.1.-Tráfico de drogas,2011,436.0,1113114.0
Balears (Illes),    6.1.-Tráfico de drogas,2010,320.0,1106049.0
Balears (Illes),    6.2.-Contra la seguridad vial,2022,1692.0,1176659.0
Balears (Illes),    6.2.-Contra la seguridad vial,2021,1532.0,1173008.0
Balears (Illes),    6.2.-Contra la seguridad vial,2020,1637.0,1171543.0
Balears (Illes),    6.2.-Contra la seguridad vial,2019,2051.0,1149460.0
Balears (Illes),    6.2.-Contra la seguridad vial,2018,1997.0,1128908.0
Balears (Illes),    6.2.-Contra la seguridad vial,2017,1973.0,1115999.0
Balears (Illes),    6.2.-Contra la seguridad vial,2016,1764.0,1107220.0
Balears (Illes),    6.2.-Contra la seguridad vial,2015,2017.0,1104479.0
Balears (Illes),    6.2.-Contra la seguridad vial,2014,2154.0,1103442.0
Balears (Illes),    6.2.-Contra la seguridad vial,2013,2413.0,1111674.0
Balears (Illes),    6.2.-Contra la seguridad vial,2012,2421.0,1119439.0
Balears (Illes),    6.2.-Contra la seguridad vial,2011,1988.0,1113114.0
Balears (Illes),    6.2.-Contra la seguridad vial,2010,1638.0,1106049.0
Balears (Illes),    6.3.-Otros contra la seguridad colectiva,2022,139.0,1176659.0
Balears (Illes),    6.3.-Otros contra la seguridad colectiva,2021,67.0,1173008.0
Balears (Illes),    6.3.-Otros contra la seguridad colectiva,2020,64.0,1171543.0
Balears (Illes),    6.3.-Otros contra la seguridad colectiva,2019,173.0,1149460.0
Balears (Illes),    6.3.-Otros contra la seguridad colectiva,2018,165.0,1128908.0
Balears (Illes),    6.3.-Otros contra la seguridad colectiva,2017,78.0,1115999.0
Balears (Illes),    6.3.-Otros contra la seguridad colectiva,2016,68.0,1107220.0
Balears (Illes),    6.3.-Otros contra la seguridad colectiva,2015,81.0,1104479.0
Balears (Illes),    6.3.-Otros contra la seguridad colectiva,2014,96.0,1103442.0
Balears (Illes),    6.3.-Otros contra la seguridad colectiva,2013,78.0,1111674.0
Balears (Illes),    6.3.-Otros contra la seguridad colectiva,2012,92.0,1119439.0
Balears (Illes),    6.3.-Otros contra la seguridad colectiva,2011,100.0,1113114.0
Balears (Illes),    6.3.-Otros contra la seguridad colectiva,2010,120.0,1106049.0
Balears (Illes),    7. FALSEDADES,2022,1045.0,1176659.0
Balears (Illes),    7. FALSEDADES,2021,1008.0,1173008.0
Balears (Illes),    7. FALSEDADES,2020,671.0,1171543.0
Balears (Illes),    7. FALSEDADES,2019,716.0,1149460.0
Balears (Illes),    7. FALSEDADES,2018,639.0,1128908.0
Balears (Illes),    7. FALSEDADES,2017,476.0,1115999.0
Balears (Illes),    7. FALSEDADES,2016,479.0,1107220.0
Balears (Illes),    7. FALSEDADES,2015,417.0,1104479.0
Balears (Illes),    7. FALSEDADES,2014,380.0,1103442.0
Balears (Illes),    7. FALSEDADES,2013,405.0,1111674.0
Balears (Illes),    7. FALSEDADES,2012,419.0,1119439.0
Balears (Illes),    7. FALSEDADES,2011,450.0,1113114.0
Balears (Illes),    7. FALSEDADES,2010,388.0,1106049.0
Balears (Illes),    8. ADMÓN. PÚBLICA,2022,22.0,1176659.0
Balears (Illes),    8. ADMÓN. PÚBLICA,2021,7.0,1173008.0
Balears (Illes),    8. ADMÓN. PÚBLICA,2020,16.0,1171543.0
Balears (Illes),    8. ADMÓN. PÚBLICA,2019,11.0,1149460.0
Balears (Illes),    8. ADMÓN. PÚBLICA,2018,6.0,1128908.0
Balears (Illes),    8. ADMÓN. PÚBLICA,2017,18.0,1115999.0
Balears (Illes),    8. ADMÓN. PÚBLICA,2016,27.0,1107220.0
Balears (Illes),    8. ADMÓN. PÚBLICA,2015,8.0,1104479.0
Balears (Illes),    8. ADMÓN. PÚBLICA,2014,15.0,1103442.0
Balears (Illes),    8. ADMÓN. PÚBLICA,2013,7.0,1111674.0
Balears (Illes),    8. ADMÓN. PÚBLICA,2012,15.0,1119439.0
Balears (Illes),    8. ADMÓN. PÚBLICA,2011,24.0,1113114.0
Balears (Illes),    8. ADMÓN. PÚBLICA,2010,20.0,1106049.0
Balears (Illes),    9. ADMÓN. JUSTICIA,2022,1499.0,1176659.0
Balears (Illes),    9. ADMÓN. JUSTICIA,2021,1357.0,1173008.0
Balears (Illes),    9. ADMÓN. JUSTICIA,2020,1215.0,1171543.0
Balears (Illes),    9. ADMÓN. JUSTICIA,2019,1095.0,1149460.0
Balears (Illes),    9. ADMÓN. JUSTICIA,2018,963.0,1128908.0
Balears (Illes),    9. ADMÓN. JUSTICIA,2017,950.0,1115999.0
Balears (Illes),    9. ADMÓN. JUSTICIA,2016,980.0,1107220.0
Balears (Illes),    9. ADMÓN. JUSTICIA,2015,916.0,1104479.0
Balears (Illes),    9. ADMÓN. JUSTICIA,2014,846.0,1103442.0
Balears (Illes),    9. ADMÓN. JUSTICIA,2013,798.0,1111674.0
Balears (Illes),    9. ADMÓN. JUSTICIA,2012,781.0,1119439.0
Balears (Illes),    9. ADMÓN. JUSTICIA,2011,832.0,1113114.0
Balears (Illes),    9. ADMÓN. JUSTICIA,2010,888.0,1106049.0
Balears (Illes),    10. ORDEN PÚBLICO,2022,884.0,1176659.0
Balears (Illes),    10. ORDEN PÚBLICO,2021,718.0,1173008.0
Balears (Illes),    10. ORDEN PÚBLICO,2020,1047.0,1171543.0
Balears (Illes),    10. ORDEN PÚBLICO,2019,652.0,1149460.0
Balears (Illes),    10. ORDEN PÚBLICO,2018,599.0,1128908.0
Balears (Illes),    10. ORDEN PÚBLICO,2017,634.0,1115999.0
Balears (Illes),    10. ORDEN PÚBLICO,2016,643.0,1107220.0
Balears (Illes),    10. ORDEN PÚBLICO,2015,791.0,1104479.0
Balears (Illes),    10. ORDEN PÚBLICO,2014,947.0,1103442.0
Balears (Illes),    10. ORDEN PÚBLICO,2013,1009.0,1111674.0
Balears (Illes),    10. ORDEN PÚBLICO,2012,1003.0,1119439.0
Balears (Illes),    10. ORDEN PÚBLICO,2011,1000.0,1113114.0
Balears (Illes),    10. ORDEN PÚBLICO,2010,854.0,1106049.0
Balears (Illes),    11. LEGISLACIÓN ESPECIAL,2022,1.0,1176659.0
Balears (Illes),    11. LEGISLACIÓN ESPECIAL,2021,0.0,1173008.0
Balears (Illes),    11. LEGISLACIÓN ESPECIAL,2020,1.0,1171543.0
Balears (Illes),    11. LEGISLACIÓN ESPECIAL,2019,0.0,1149460.0
Balears (Illes),    11. LEGISLACIÓN ESPECIAL,2018,2.0,1128908.0
Balears (Illes),    11. LEGISLACIÓN ESPECIAL,2017,0.0,1115999.0
Balears (Illes),    11. LEGISLACIÓN ESPECIAL,2016,3.0,1107220.0
Balears (Illes),    11. LEGISLACIÓN ESPECIAL,2015,2.0,1104479.0
Balears (Illes),    11. LEGISLACIÓN ESPECIAL,2014,3.0,1103442.0
Balears (Illes),    11. LEGISLACIÓN ESPECIAL,2013,1.0,1111674.0
Balears (Illes),    11. LEGISLACIÓN ESPECIAL,2012,0.0,1119439.0
Balears (Illes),    11. LEGISLACIÓN ESPECIAL,2011,0.0,1113114.0
Balears (Illes),    11. LEGISLACIÓN ESPECIAL,2010,1.0,1106049.0
Balears (Illes),    12. OTRAS INFRACCIONES PENALES,2022,330.0,1176659.0
Balears (Illes),    12. OTRAS INFRACCIONES PENALES,2021,273.0,1173008.0
Balears (Illes),    12. OTRAS INFRACCIONES PENALES,2020,277.0,1171543.0
Balears (Illes),    12. OTRAS INFRACCIONES PENALES,2019,275.0,1149460.0
Balears (Illes),    12. OTRAS INFRACCIONES PENALES,2018,306.0,1128908.0
Balears (Illes),    12. OTRAS INFRACCIONES PENALES,2017,246.0,1115999.0
Balears (Illes),    12. OTRAS INFRACCIONES PENALES,2016,316.0,1107220.0
Balears (Illes),    12. OTRAS INFRACCIONES PENALES,2015,283.0,1104479.0
Balears (Illes),    12. OTRAS INFRACCIONES PENALES,2014,237.0,1103442.0
Balears (Illes),    12. OTRAS INFRACCIONES PENALES,2013,242.0,1111674.0
Balears (Illes),    12. OTRAS INFRACCIONES PENALES,2012,199.0,1119439.0
Balears (Illes),    12. OTRAS INFRACCIONES PENALES,2011,224.0,1113114.0
Balears (Illes),    12. OTRAS INFRACCIONES PENALES,2010,200.0,1106049.0
Barcelona,    1. CONTRA LAS PERSONAS,2022,16001.0,5727615.0
Barcelona,    1. CONTRA LAS PERSONAS,2021,13607.0,5714730.0
Barcelona,    1. CONTRA LAS PERSONAS,2020,11104.0,5743402.0
Barcelona,    1. CONTRA LAS PERSONAS,2019,14672.0,5664579.0
Barcelona,    1. CONTRA LAS PERSONAS,2018,14439.0,5609350.0
Barcelona,    1. CONTRA LAS PERSONAS,2017,14480.0,5576037.0
Barcelona,    1. CONTRA LAS PERSONAS,2016,13840.0,5542680.0
Barcelona,    1. CONTRA LAS PERSONAS,2015,18633.0,5523922.0
Barcelona,    1. CONTRA LAS PERSONAS,2014,25066.0,5523784.0
Barcelona,    1. CONTRA LAS PERSONAS,2013,24589.0,5540925.0
Barcelona,    1. CONTRA LAS PERSONAS,2012,25631.0,5552050.0
Barcelona,    1. CONTRA LAS PERSONAS,2011,26112.0,5529099.0
Barcelona,    1. CONTRA LAS PERSONAS,2010,25790.0,5511147.0
Barcelona,    1.1.-Homicidios dolosos/asesinatos,2022,173.0,5727615.0
Barcelona,    1.1.-Homicidios dolosos/asesinatos,2021,173.0,5714730.0
Barcelona,    1.1.-Homicidios dolosos/asesinatos,2020,144.0,5743402.0
Barcelona,    1.1.-Homicidios dolosos/asesinatos,2019,187.0,5664579.0
Barcelona,    1.1.-Homicidios dolosos/asesinatos,2018,151.0,5609350.0
Barcelona,    1.1.-Homicidios dolosos/asesinatos,2017,157.0,5576037.0
Barcelona,    1.1.-Homicidios dolosos/asesinatos,2016,153.0,5542680.0
Barcelona,    1.1.-Homicidios dolosos/asesinatos,2015,116.0,5523922.0
Barcelona,    1.1.-Homicidios dolosos/asesinatos,2014,143.0,5523784.0
Barcelona,    1.1.-Homicidios dolosos/asesinatos,2013,128.0,5540925.0
Barcelona,    1.1.-Homicidios dolosos/asesinatos,2012,203.0,5552050.0
Barcelona,    1.1.-Homicidios dolosos/asesinatos,2011,169.0,5529099.0
Barcelona,    1.1.-Homicidios dolosos/asesinatos,2010,185.0,5511147.0
Barcelona,    1.1.1.-Homicidios dolosos/asesinatos consumados,2022,35.0,5727615.0
Barcelona,    1.1.1.-Homicidios dolosos/asesinatos consumados,2021,38.0,5714730.0
Barcelona,    1.1.1.-Homicidios dolosos/asesinatos consumados,2020,36.0,5743402.0
Barcelona,    1.1.1.-Homicidios dolosos/asesinatos consumados,2019,44.0,5664579.0
Barcelona,    1.1.1.-Homicidios dolosos/asesinatos consumados,2018,28.0,5609350.0
Barcelona,    1.1.1.-Homicidios dolosos/asesinatos consumados,2017,49.0,5576037.0
Barcelona,    1.1.1.-Homicidios dolosos/asesinatos consumados,2016,45.0,5542680.0
Barcelona,    1.1.1.-Homicidios dolosos/asesinatos consumados,2015,36.0,5523922.0
Barcelona,    1.1.1.-Homicidios dolosos/asesinatos consumados,2014,39.0,5523784.0
Barcelona,    1.1.1.-Homicidios dolosos/asesinatos consumados,2013,28.0,5540925.0
Barcelona,    1.1.1.-Homicidios dolosos/asesinatos consumados,2012,48.0,5552050.0
Barcelona,    1.1.1.-Homicidios dolosos/asesinatos consumados,2011,44.0,5529099.0
Barcelona,    1.1.1.-Homicidios dolosos/asesinatos consumados,2010,56.0,5511147.0
Barcelona,    1.2.-Lesiones,2022,10426.0,5727615.0
Barcelona,    1.2.-Lesiones,2021,8722.0,5714730.0
Barcelona,    1.2.-Lesiones,2020,6827.0,5743402.0
Barcelona,    1.2.-Lesiones,2019,10069.0,5664579.0
Barcelona,    1.2.-Lesiones,2018,9907.0,5609350.0
Barcelona,    1.2.-Lesiones,2017,9903.0,5576037.0
Barcelona,    1.2.-Lesiones,2016,9536.0,5542680.0
Barcelona,    1.2.-Lesiones,2015,9507.0,5523922.0
Barcelona,    1.2.-Lesiones,2014,9755.0,5523784.0
Barcelona,    1.2.-Lesiones,2013,9865.0,5540925.0
Barcelona,    1.2.-Lesiones,2012,10692.0,5552050.0
Barcelona,    1.2.-Lesiones,2011,11225.0,5529099.0
Barcelona,    1.2.-Lesiones,2010,11130.0,5511147.0
Barcelona,    1.3.-Malos tratos ámbito familiar,2022,5117.0,5727615.0
Barcelona,    1.3.-Malos tratos ámbito familiar,2021,4475.0,5714730.0
Barcelona,    1.3.-Malos tratos ámbito familiar,2020,3886.0,5743402.0
Barcelona,    1.3.-Malos tratos ámbito familiar,2019,4172.0,5664579.0
Barcelona,    1.3.-Malos tratos ámbito familiar,2018,4127.0,5609350.0
Barcelona,    1.3.-Malos tratos ámbito familiar,2017,4138.0,5576037.0
Barcelona,    1.3.-Malos tratos ámbito familiar,2016,4134.0,5542680.0
Barcelona,    1.3.-Malos tratos ámbito familiar,2015,3752.0,5523922.0
Barcelona,    1.3.-Malos tratos ámbito familiar,2014,4172.0,5523784.0
Barcelona,    1.3.-Malos tratos ámbito familiar,2013,4210.0,5540925.0
Barcelona,    1.3.-Malos tratos ámbito familiar,2012,3997.0,5552050.0
Barcelona,    1.3.-Malos tratos ámbito familiar,2011,4000.0,5529099.0
Barcelona,    1.3.-Malos tratos ámbito familiar,2010,4054.0,5511147.0
Barcelona,    1.4.-Otros contra las personas,2022,285.0,5727615.0
Barcelona,    1.4.-Otros contra las personas,2021,237.0,5714730.0
Barcelona,    1.4.-Otros contra las personas,2020,247.0,5743402.0
Barcelona,    1.4.-Otros contra las personas,2019,244.0,5664579.0
Barcelona,    1.4.-Otros contra las personas,2018,254.0,5609350.0
Barcelona,    1.4.-Otros contra las personas,2017,282.0,5576037.0
Barcelona,    1.4.-Otros contra las personas,2016,17.0,5542680.0
Barcelona,    1.4.-Otros contra las personas,2015,5258.0,5523922.0
Barcelona,    1.4.-Otros contra las personas,2014,10996.0,5523784.0
Barcelona,    1.4.-Otros contra las personas,2013,10386.0,5540925.0
Barcelona,    1.4.-Otros contra las personas,2012,10739.0,5552050.0
Barcelona,    1.4.-Otros contra las personas,2011,10718.0,5529099.0
Barcelona,    1.4.-Otros contra las personas,2010,10421.0,5511147.0
Barcelona,    2. CONTRA LA LIBERTAD,2022,14425.0,5727615.0
Barcelona,    2. CONTRA LA LIBERTAD,2021,13805.0,5714730.0
Barcelona,    2. CONTRA LA LIBERTAD,2020,10728.0,5743402.0
Barcelona,    2. CONTRA LA LIBERTAD,2019,12735.0,5664579.0
Barcelona,    2. CONTRA LA LIBERTAD,2018,12571.0,5609350.0
Barcelona,    2. CONTRA LA LIBERTAD,2017,12451.0,5576037.0
Barcelona,    2. CONTRA LA LIBERTAD,2016,12260.0,5542680.0
Barcelona,    2. CONTRA LA LIBERTAD,2015,10566.0,5523922.0
Barcelona,    2. CONTRA LA LIBERTAD,2014,7323.0,5523784.0
Barcelona,    2. CONTRA LA LIBERTAD,2013,7333.0,5540925.0
Barcelona,    2. CONTRA LA LIBERTAD,2012,7879.0,5552050.0
Barcelona,    2. CONTRA LA LIBERTAD,2011,7877.0,5529099.0
Barcelona,    2. CONTRA LA LIBERTAD,2010,7711.0,5511147.0
Barcelona,    2.1.-Malos tratos habituales en el ámbito familiar,2022,1283.0,5727615.0
Barcelona,    2.1.-Malos tratos habituales en el ámbito familiar,2021,1276.0,5714730.0
Barcelona,    2.1.-Malos tratos habituales en el ámbito familiar,2020,992.0,5743402.0
Barcelona,    2.1.-Malos tratos habituales en el ámbito familiar,2019,1124.0,5664579.0
Barcelona,    2.1.-Malos tratos habituales en el ámbito familiar,2018,1322.0,5609350.0
Barcelona,    2.1.-Malos tratos habituales en el ámbito familiar,2017,1288.0,5576037.0
Barcelona,    2.1.-Malos tratos habituales en el ámbito familiar,2016,1424.0,5542680.0
Barcelona,    2.1.-Malos tratos habituales en el ámbito familiar,2015,2190.0,5523922.0
Barcelona,    2.1.-Malos tratos habituales en el ámbito familiar,2014,1986.0,5523784.0
Barcelona,    2.1.-Malos tratos habituales en el ámbito familiar,2013,1969.0,5540925.0
Barcelona,    2.1.-Malos tratos habituales en el ámbito familiar,2012,2601.0,5552050.0
Barcelona,    2.1.-Malos tratos habituales en el ámbito familiar,2011,2729.0,5529099.0
Barcelona,    2.1.-Malos tratos habituales en el ámbito familiar,2010,3161.0,5511147.0
Barcelona,    2.2.-Otros contra la libertad,2022,13142.0,5727615.0
Barcelona,    2.2.-Otros contra la libertad,2021,12529.0,5714730.0
Barcelona,    2.2.-Otros contra la libertad,2020,9736.0,5743402.0
Barcelona,    2.2.-Otros contra la libertad,2019,11611.0,5664579.0
Barcelona,    2.2.-Otros contra la libertad,2018,11249.0,5609350.0
Barcelona,    2.2.-Otros contra la libertad,2017,11163.0,5576037.0
Barcelona,    2.2.-Otros contra la libertad,2016,10836.0,5542680.0
Barcelona,    2.2.-Otros contra la libertad,2015,8376.0,5523922.0
Barcelona,    2.2.-Otros contra la libertad,2014,5337.0,5523784.0
Barcelona,    2.2.-Otros contra la libertad,2013,5364.0,5540925.0
Barcelona,    2.2.-Otros contra la libertad,2012,5278.0,5552050.0
Barcelona,    2.2.-Otros contra la libertad,2011,5148.0,5529099.0
Barcelona,    2.2.-Otros contra la libertad,2010,4550.0,5511147.0
Barcelona,    3. LIBERTAD SEXUAL,2022,2654.0,5727615.0
Barcelona,    3. LIBERTAD SEXUAL,2021,2406.0,5714730.0
Barcelona,    3. LIBERTAD SEXUAL,2020,1703.0,5743402.0
Barcelona,    3. LIBERTAD SEXUAL,2019,2222.0,5664579.0
Barcelona,    3. LIBERTAD SEXUAL,2018,1936.0,5609350.0
Barcelona,    3. LIBERTAD SEXUAL,2017,1627.0,5576037.0
Barcelona,    3. LIBERTAD SEXUAL,2016,1703.0,5542680.0
Barcelona,    3. LIBERTAD SEXUAL,2015,1426.0,5523922.0
Barcelona,    3. LIBERTAD SEXUAL,2014,1390.0,5523784.0
Barcelona,    3. LIBERTAD SEXUAL,2013,1223.0,5540925.0
Barcelona,    3. LIBERTAD SEXUAL,2012,1218.0,5552050.0
Barcelona,    3. LIBERTAD SEXUAL,2011,1363.0,5529099.0
Barcelona,    3. LIBERTAD SEXUAL,2010,1332.0,5511147.0
Barcelona,    3.1.-Agresión sexual,2022,1435.0,5727615.0
Barcelona,    3.1.-Agresión sexual,2021,1284.0,5714730.0
Barcelona,    3.1.-Agresión sexual,2020,841.0,5743402.0
Barcelona,    3.1.-Agresión sexual,2019,1098.0,5664579.0
Barcelona,    3.1.-Agresión sexual,2018,944.0,5609350.0
Barcelona,    3.1.-Agresión sexual,2017,839.0,5576037.0
Barcelona,    3.1.-Agresión sexual,2016,967.0,5542680.0
Barcelona,    3.1.-Agresión sexual,2015,730.0,5523922.0
Barcelona,    3.1.-Agresión sexual,2014,678.0,5523784.0
Barcelona,    3.1.-Agresión sexual,2013,579.0,5540925.0
Barcelona,    3.1.-Agresión sexual,2012,609.0,5552050.0
Barcelona,    3.1.-Agresión sexual,2011,669.0,5529099.0
Barcelona,    3.1.-Agresión sexual,2010,591.0,5511147.0
Barcelona,    3.2.-Agresión sexual con penetración,2022,846.0,5727615.0
Barcelona,    3.2.-Agresión sexual con penetración,2021,800.0,5714730.0
Barcelona,    3.2.-Agresión sexual con penetración,2020,514.0,5743402.0
Barcelona,    3.2.-Agresión sexual con penetración,2019,716.0,5664579.0
Barcelona,    3.2.-Agresión sexual con penetración,2018,616.0,5609350.0
Barcelona,    3.2.-Agresión sexual con penetración,2017,449.0,5576037.0
Barcelona,    3.2.-Agresión sexual con penetración,2016,349.0,5542680.0
Barcelona,    3.2.-Agresión sexual con penetración,2015,303.0,5523922.0
Barcelona,    3.2.-Agresión sexual con penetración,2014,329.0,5523784.0
Barcelona,    3.2.-Agresión sexual con penetración,2013,302.0,5540925.0
Barcelona,    3.2.-Agresión sexual con penetración,2012,297.0,5552050.0
Barcelona,    3.2.-Agresión sexual con penetración,2011,346.0,5529099.0
Barcelona,    3.2.-Agresión sexual con penetración,2010,366.0,5511147.0
Barcelona,    3.3.-Corrupción de menores o incapacitados,2022,11.0,5727615.0
Barcelona,    3.3.-Corrupción de menores o incapacitados,2021,3.0,5714730.0
Barcelona,    3.3.-Corrupción de menores o incapacitados,2020,3.0,5743402.0
Barcelona,    3.3.-Corrupción de menores o incapacitados,2019,6.0,5664579.0
Barcelona,    3.3.-Corrupción de menores o incapacitados,2018,4.0,5609350.0
Barcelona,    3.3.-Corrupción de menores o incapacitados,2017,4.0,5576037.0
Barcelona,    3.3.-Corrupción de menores o incapacitados,2016,2.0,5542680.0
Barcelona,    3.3.-Corrupción de menores o incapacitados,2015,13.0,5523922.0
Barcelona,    3.3.-Corrupción de menores o incapacitados,2014,5.0,5523784.0
Barcelona,    3.3.-Corrupción de menores o incapacitados,2013,5.0,5540925.0
Barcelona,    3.3.-Corrupción de menores o incapacitados,2012,4.0,5552050.0
Barcelona,    3.3.-Corrupción de menores o incapacitados,2011,7.0,5529099.0
Barcelona,    3.3.-Corrupción de menores o incapacitados,2010,44.0,5511147.0
Barcelona,    3.4.-Pornografía de menores,2022,155.0,5727615.0
Barcelona,    3.4.-Pornografía de menores,2021,118.0,5714730.0
Barcelona,    3.4.-Pornografía de menores,2020,137.0,5743402.0
Barcelona,    3.4.-Pornografía de menores,2019,170.0,5664579.0
Barcelona,    3.4.-Pornografía de menores,2018,181.0,5609350.0
Barcelona,    3.4.-Pornografía de menores,2017,129.0,5576037.0
Barcelona,    3.4.-Pornografía de menores,2016,132.0,5542680.0
Barcelona,    3.4.-Pornografía de menores,2015,151.0,5523922.0
Barcelona,    3.4.-Pornografía de menores,2014,135.0,5523784.0
Barcelona,    3.4.-Pornografía de menores,2013,94.0,5540925.0
Barcelona,    3.4.-Pornografía de menores,2012,110.0,5552050.0
Barcelona,    3.4.-Pornografía de menores,2011,130.0,5529099.0
Barcelona,    3.4.-Pornografía de menores,2010,128.0,5511147.0
Barcelona,    3.5.-Otros contra la libertad sexual,2022,207.0,5727615.0
Barcelona,    3.5.-Otros contra la libertad sexual,2021,201.0,5714730.0
Barcelona,    3.5.-Otros contra la libertad sexual,2020,208.0,5743402.0
Barcelona,    3.5.-Otros contra la libertad sexual,2019,232.0,5664579.0
Barcelona,    3.5.-Otros contra la libertad sexual,2018,191.0,5609350.0
Barcelona,    3.5.-Otros contra la libertad sexual,2017,206.0,5576037.0
Barcelona,    3.5.-Otros contra la libertad sexual,2016,253.0,5542680.0
Barcelona,    3.5.-Otros contra la libertad sexual,2015,229.0,5523922.0
Barcelona,    3.5.-Otros contra la libertad sexual,2014,243.0,5523784.0
Barcelona,    3.5.-Otros contra la libertad sexual,2013,243.0,5540925.0
Barcelona,    3.5.-Otros contra la libertad sexual,2012,198.0,5552050.0
Barcelona,    3.5.-Otros contra la libertad sexual,2011,211.0,5529099.0
Barcelona,    3.5.-Otros contra la libertad sexual,2010,203.0,5511147.0
Barcelona,    4. RELACIONES FAMILIARES,2022,643.0,5727615.0
Barcelona,    4. RELACIONES FAMILIARES,2021,588.0,5714730.0
Barcelona,    4. RELACIONES FAMILIARES,2020,564.0,5743402.0
Barcelona,    4. RELACIONES FAMILIARES,2019,655.0,5664579.0
Barcelona,    4. RELACIONES FAMILIARES,2018,708.0,5609350.0
Barcelona,    4. RELACIONES FAMILIARES,2017,769.0,5576037.0
Barcelona,    4. RELACIONES FAMILIARES,2016,882.0,5542680.0
Barcelona,    4. RELACIONES FAMILIARES,2015,1210.0,5523922.0
Barcelona,    4. RELACIONES FAMILIARES,2014,1431.0,5523784.0
Barcelona,    4. RELACIONES FAMILIARES,2013,1423.0,5540925.0
Barcelona,    4. RELACIONES FAMILIARES,2012,1385.0,5552050.0
Barcelona,    4. RELACIONES FAMILIARES,2011,1226.0,5529099.0
Barcelona,    4. RELACIONES FAMILIARES,2010,1101.0,5511147.0
Barcelona,    5. PATRIMONIO,2022,313430.0,5727615.0
Barcelona,    5. PATRIMONIO,2021,250404.0,5714730.0
Barcelona,    5. PATRIMONIO,2020,234855.0,5743402.0
Barcelona,    5. PATRIMONIO,2019,342591.0,5664579.0
Barcelona,    5. PATRIMONIO,2018,327322.0,5609350.0
Barcelona,    5. PATRIMONIO,2017,287067.0,5576037.0
Barcelona,    5. PATRIMONIO,2016,271608.0,5542680.0
Barcelona,    5. PATRIMONIO,2015,273488.0,5523922.0
Barcelona,    5. PATRIMONIO,2014,271625.0,5523784.0
Barcelona,    5. PATRIMONIO,2013,278548.0,5540925.0
Barcelona,    5. PATRIMONIO,2012,294192.0,5552050.0
Barcelona,    5. PATRIMONIO,2011,293402.0,5529099.0
Barcelona,    5. PATRIMONIO,2010,302154.0,5511147.0
Barcelona,    5.1.-Hurtos,2022,133635.0,5727615.0
Barcelona,    5.1.-Hurtos,2021,97043.0,5714730.0
Barcelona,    5.1.-Hurtos,2020,92393.0,5743402.0
Barcelona,    5.1.-Hurtos,2019,165900.0,5664579.0
Barcelona,    5.1.-Hurtos,2018,164695.0,5609350.0
Barcelona,    5.1.-Hurtos,2017,146663.0,5576037.0
Barcelona,    5.1.-Hurtos,2016,135998.0,5542680.0
Barcelona,    5.1.-Hurtos,2015,135650.0,5523922.0
Barcelona,    5.1.-Hurtos,2014,134274.0,5523784.0
Barcelona,    5.1.-Hurtos,2013,135248.0,5540925.0
Barcelona,    5.1.-Hurtos,2012,145149.0,5552050.0
Barcelona,    5.1.-Hurtos,2011,148346.0,5529099.0
Barcelona,    5.1.-Hurtos,2010,149094.0,5511147.0
Barcelona,    5.2.-Robos con fuerza en las cosas,2022,45625.0,5727615.0
Barcelona,    5.2.-Robos con fuerza en las cosas,2021,41419.0,5714730.0
Barcelona,    5.2.-Robos con fuerza en las cosas,2020,38798.0,5743402.0
Barcelona,    5.2.-Robos con fuerza en las cosas,2019,54110.0,5664579.0
Barcelona,    5.2.-Robos con fuerza en las cosas,2018,49423.0,5609350.0
Barcelona,    5.2.-Robos con fuerza en las cosas,2017,45259.0,5576037.0
Barcelona,    5.2.-Robos con fuerza en las cosas,2016,46315.0,5542680.0
